Usage_ID,Account,Resource_ID,TS,Service,SKU,Usage,Unit,Cost,Currency,Credit_Amount,Price_Per_Second,Effective_Date_x,Canonical_Service,Usage_Seconds,Credit_Tag,Usage_Type,Z_Score,Usage_Anomaly,Valid_Format,Inventory_Status,Effective_Date_y,Unit_Price,FX_Rate,Cost_USD,Purchase_Type
U82,ACCT1006,VM100224,2026-01-01 06:00:00,Storage,SKU12,34173,sec,2733.84,INR,0.0,0.08,2026-01-01,Storage,34173.0,No Credit,Paid Usage,0.6138802310539409,Normal,False,Mapped,,,0.012,32.81,RESERVED
U601,ACCT1095,VM100261,2026-01-01 10:00:00,Compute,SKU8,2986,sec,238.88,INR,0.0,0.08,2026-01-01,Storage,2986.0,No Credit,Paid Usage,-1.5305908284993985,Normal,False,Mapped,,,0.012,2.87,RESERVED
U153,ACCT1010,VM100081,2026-01-01 10:00:00,Network,SKU20,26872,sec,2149.76,INR,0.0,0.08,2026-01-01,COMPUTE,26872.0,No Credit,Paid Usage,0.11185107769520386,Normal,False,Mapped,,,0.012,25.8,Spot
U560,ACCT1042,VM100298,2026-01-01 10:00:00,Compute,SKU15,48119,sec,3849.52,INR,100.0,0.08,2026-01-01,Storage,48119.0,No Credit,Paid Usage,1.5728308642193904,Normal,False,Mapped,,,0.012,46.19,RESERVED
U755,ACCT1043,VM100121,2026-01-01 11:00:00,Compute,SKU4,935,sec,74.8,INR,0.0,0.08,2026-01-01,Database,935.0,No Credit,Paid Usage,-1.6716210700469631,Normal,False,Mapped,,,0.012,0.9,Spot
U66,ACCT1036,VM100023,2026-01-01 14:00:00,Storage,SKU9,21959,sec,1756.72,INR,0.0,0.08,2026-01-01,Network,21959.0,No Credit,Paid Usage,-0.2259751420625656,Normal,False,Mapped,,,0.012,21.08,Spot
U674,ACCT1007,VM100185,2026-01-01 15:00:00,Compute,SKU10,28123,sec,2249.84,INR,0.0,0.08,2026-01-01,STORAGE,28123.0,No Credit,Paid Usage,0.19787196125249465,Normal,False,Mapped,,,0.012,27.0,RESERVED
U402,ACCT1088,VM100071,2026-01-01 21:00:00,Storage,SKU14,36167,sec,2893.36,INR,0.0,0.08,2026-01-01,Network,36167.0,No Credit,Paid Usage,0.7509910558446985,Normal,False,Mapped,,,0.012,34.72,On-Demand
U469,ACCT1091,VM100078,2026-01-02 13:00:00,Network,SKU12,14434,sec,1154.72,INR,0.0,0.08,2026-01-01,Storage,14434.0,No Credit,Paid Usage,-0.7434069156585793,Normal,False,Mapped,,,0.012,13.86,RESERVED
U58,ACCT1041,VM100038,2026-01-02 14:00:00,Compute,SKU3,30134,sec,2410.72,INR,0.0,0.08,2026-01-01,Compute,30134.0,No Credit,Paid Usage,0.3361517349005456,Normal,False,Mapped,2025-05-01,0.35,0.012,28.93,RESERVED
U571,ACCT1088,VM100228,2026-01-02 14:00:00,Database,SKU4,628,sec,50.24,INR,0.0,0.08,2026-01-01,Database,628.0,No Credit,Paid Usage,-1.692730911175731,Normal,False,Mapped,,,0.012,0.6,On-Demand
