Incident_ID,Resource_ID,Open_Time,Close_Time,Severity,Status,Error_Count,SLA_Status
INC5001,VM100081,2026-05-02 15:00:00+00:00,2026-05-02 17:43:00+00:00,LOW,CLOSED,12,Breached
INC5002,VM100181,2026-05-08 18:00:00+00:00,2026-05-08 19:56:00+00:00, HIGH , Closed ,10,Met
INC5003,VM100066,2026-01-09 18:00:00+00:00,,high,closed,11,Met
INC5004,VM100050,2026-06-11 10:00:00+00:00,2026-06-11 11:57:00+00:00,CRITICAL,CLOSED,11,Breached
INC5005,VM100126,2026-04-17 11:00:00+00:00,2026-04-17 11:34:00+00:00, MEDIUM , Closed ,7,Breached
INC5006,VM100034,2026-06-02 02:00:00+00:00,2026-06-02 05:16:00+00:00,high,closed,3,Breached
INC5007,VM100167,2026-02-14 00:00:00+00:00,,LOW,CLOSED,14,Breached
INC5008,VM100137,2026-05-27 16:00:00+00:00,2026-05-27 18:07:00+00:00, LOW , Closed ,15,Met
INC5009,VM100200,2026-03-24 12:00:00+00:00,2026-03-24 14:46:00+00:00,high,closed,18,Met
INC5010,VM100106,2026-05-07 03:00:00+00:00,2026-05-07 06:16:00+00:00,HIGH,CLOSED,15,Breached
INC5011,VM100187,2026-02-13 19:00:00+00:00,2026-02-13 20:36:00+00:00, CRITICAL , Closed ,6,Breached
INC5012,VM100275,2026-06-13 02:00:00+00:00,2026-06-13 05:55:00+00:00,medium,closed,9,Breached
INC5013,VM100206,2026-01-14 09:00:00+00:00,2026-01-14 11:46:00+00:00,MEDIUM,CLOSED,19,Met
INC5014,VM100173,2026-05-30 03:00:00+00:00,2026-05-30 05:51:00+00:00, HIGH , Closed ,2,Breached
INC5015,VM100040,2026-04-21 06:00:00+00:00,2026-04-21 07:48:00+00:00,high,closed,16,Breached
INC5016,VM100161,2026-04-22 21:00:00+00:00,2026-04-22 23:38:00+00:00,MEDIUM,CLOSED,13,Breached
INC5017,VM100233,2026-03-07 19:00:00+00:00,2026-03-07 21:31:00+00:00,MEDIUM,Closed,0,Met
INC5018,VM100240,2026-05-29 15:00:00+00:00,2026-05-29 16:14:00+00:00,HIGH,Closed,20,Breached
INC5019,VM100031,2026-05-26 23:00:00+00:00,2026-05-27 02:00:00+00:00,MEDIUM,Closed,11,Breached
INC5020,VM100154,2026-02-08 07:00:00+00:00,2026-02-08 07:58:00+00:00,CRITICAL,Closed,13,Breached
INC5021,VM100212,2026-01-18 20:00:00+00:00,2026-01-18 21:12:00+00:00,HIGH,Closed,9,Met
INC5022,VM100121,2026-03-08 21:00:00+00:00,2026-03-08 23:53:00+00:00,CRITICAL,Closed,7,Met
INC5023,VM100126,2026-02-09 06:00:00+00:00,2026-02-09 06:27:00+00:00,HIGH,Closed,14,Breached
INC5024,VM100019,2026-05-25 13:00:00+00:00,2026-05-25 15:08:00+00:00,MEDIUM,Closed,5,Breached
INC5025,VM100143,2026-02-05 00:00:00+00:00,2026-02-05 01:26:00+00:00,MEDIUM,Closed,20,Met
INC5026,VM100043,2026-05-06 00:00:00+00:00,2026-05-06 00:34:00+00:00,HIGH,Closed,19,Breached
INC5027,VM100047,2026-01-18 13:00:00+00:00,2026-01-18 14:53:00+00:00,CRITICAL,Closed,4,Met
INC5028,VM100257,2026-01-30 18:00:00+00:00,2026-01-30 21:28:00+00:00,LOW,Closed,16,Breached
INC5029,VM100063,2026-05-09 02:00:00+00:00,2026-05-09 03:20:00+00:00,HIGH,Closed,10,Breached
INC5030,VM100074,2026-03-03 13:00:00+00:00,2026-03-03 14:15:00+00:00,LOW,Closed,5,Met
INC5031,VM100131,2026-03-13 14:00:00+00:00,2026-03-13 16:04:00+00:00,LOW,Closed,15,Breached
INC5032,VM100280,2026-06-30 03:00:00+00:00,2026-06-30 04:41:00+00:00,CRITICAL,Closed,15,Met
INC5033,VM100244,2026-03-14 04:00:00+00:00,2026-03-14 05:52:00+00:00,HIGH,Closed,9,Met
INC5034,VM100028,2026-06-16 19:00:00+00:00,2026-06-16 19:28:00+00:00,MEDIUM,Closed,8,Breached
INC5035,VM100186,2026-03-22 20:00:00+00:00,2026-03-22 23:19:00+00:00,LOW,Closed,17,Met
