Resource_ID,Account,Region,Owner,Environment,CPU_Utilization,Memory_Utilization,Disk_Utilization,Purchase_Type,Status,Utilization_Status
VM100001,ACCT1037,EU-WEST-1,David,Production,42,19,17,SPOT,RUNNING,Active
VM100002,ACCT1085,ap-south-1,Alice,Dev,120,-5,150, ON_DEMAND , Running ,Active
VM100003,ACCT1063,ap-south-1,Nan,Development,74,87,54,spot,running,Active
VM100004,ACCT1063,US-EAST-1,Charlie,Development,120,-5,150,SPOT,RUNNING,Active
VM100005,ACCT1010,ap-south-1,Bob,Prod,63,15,64, SPOT , Running ,Active
VM100006,ACCT1008,eu-west-1,David,QA,120,-5,150,reserved,running,Active
VM100007,ACCT1068,AP-SOUTH-1,Nan,QA,10,32,71,ON_DEMAND,RUNNING,Underutilized
VM100008,ACCT1013,us-east-1,Bob,Prod,50,29,29, SPOT , Running ,Active
VM100009,ACCT1085,ap-south-1,Bob,Production,72,58,18,spot,running,Active
VM100010,ACCT1074,EU-WEST-1,David,Production,86,59,18,ON_DEMAND,RUNNING,Active
VM100011,ACCT1024,us-east-1,David,Prod,44,89,25, SPOT , Running ,Active
VM100012,ACCT1077,eu-west-1,Charlie,QA,71,46,52,reserved,running,Active
VM100013,ACCT1098,US-EAST-1,David,Production,42,82,35,SPOT,RUNNING,Active
VM100014,ACCT1070,ap-south-1,David,Prod,33,51,62, RESERVED , Running ,Active
VM100015,ACCT1051,ap-south-1,Alice,QA,77,7,71,on_demand,running,Active
VM100016,ACCT1039,AP-SOUTH-1,Charlie,Development,28,45,7,SPOT,RUNNING,Active
VM100017,ACCT1036,us-east-1,Bob,Dev,5,63,50,ON_DEMAND,Running,Underutilized
VM100018,ACCT1018,eu-west-1,Charlie,Prod,32,34,37,RESERVED,Running,Active
VM100019,ACCT1012,us-east-1,David,Prod,28,14,46,RESERVED,Running,Active
VM100020,ACCT1023,eu-west-1,Alice,Prod,83,43,9,SPOT,Running,Active
VM100021,ACCT1074,eu-west-1,Alice,Dev,43,49,60,RESERVED,Running,Active
