Log_ID,Resource_ID,Log_Source,Log_Timestamp,Security_Event_Count,Carbon_Factor,Cloud_Provider
LOG1,VM100058,CLOUDWATCH,2026-01-01 01:00:00+00:00,2,0.47,AWS
LOG2,VM100060, Stackdriver ,2026-01-01 02:00:00+00:00,2,0.29, Azure 
LOG3,VM100195,stackdriver,2026-01-01 03:00:00+00:00,5,0.25,aws
LOG4,VM100275,CLOUDWATCH,2026-01-01 04:00:00+00:00,3,0.54,AZURE
LOG5,VM100187, Stackdriver ,2026-01-01 05:00:00+00:00,1,0.41, GCP 
LOG6,VM100114,cloudwatch,2026-01-01 06:00:00+00:00,3,0.25,azure
LOG7,VM100162,CLOUDWATCH,2026-01-01 07:00:00+00:00,2,0.5,AZURE
LOG8,VM100234, CloudWatch ,2026-01-01 08:00:00+00:00,4,0.34, GCP 
LOG9,VM100018,stackdriver,2026-01-01 09:00:00+00:00,2,0.34,gcp
LOG10,VM100064,AZUREMONITOR,2026-01-01 10:00:00+00:00,5,0.42,GCP
LOG11,VM100111, AzureMonitor ,2026-01-01 11:00:00+00:00,2,0.46, Azure 
LOG12,VM100031,azuremonitor,2026-01-01 12:00:00+00:00,1,0.5,aws
LOG13,VM100116,STACKDRIVER,2026-01-01 13:00:00+00:00,5,0.27,AWS
LOG14,VM100250, Stackdriver ,2026-01-01 14:00:00+00:00,3,0.34, GCP 
LOG15,VM100082,cloudwatch,2026-01-01 15:00:00+00:00,4,0.37,azure
LOG16,VM100243,AZUREMONITOR,2026-01-01 16:00:00+00:00,3,0.37,GCP
LOG17,VM100145,AzureMonitor,2026-01-01 17:00:00+00:00,5,0.53,GCP
LOG18,VM100281,AzureMonitor,2026-01-01 18:00:00+00:00,0,0.29,GCP
LOG19,VM100028,Stackdriver,2026-01-01 19:00:00+00:00,2,0.39,AWS
LOG20,VM100296,CloudWatch,2026-01-01 20:00:00+00:00,3,0.46,Azure
LOG21,VM100075,CloudWatch,2026-01-01 21:00:00+00:00,1,0.49,AWS
LOG22,VM100005,AzureMonitor,2026-01-01 22:00:00+00:00,5,0.51,AWS
LOG23,VM100076,AzureMonitor,2026-01-01 23:00:00+00:00,3,0.45,AWS
LOG24,VM100029,CloudWatch,2026-01-02 00:00:00+00:00,2,0.54,AWS
LOG25,VM100027,CloudWatch,2026-01-02 01:00:00+00:00,4,0.45,GCP
LOG26,VM100223,CloudWatch,2026-01-02 02:00:00+00:00,5,0.47,AWS
LOG27,VM100018,CloudWatch,2026-01-02 03:00:00+00:00,1,0.37,Azure
LOG28,VM100089,Stackdriver,2026-01-02 04:00:00+00:00,5,0.36,GCP
LOG29,VM100046,AzureMonitor,2026-01-02 05:00:00+00:00,5,0.36,GCP
LOG30,VM100228,AzureMonitor,2026-01-02 06:00:00+00:00,0,0.29,AWS
LOG31,VM100063,AzureMonitor,2026-01-02 07:00:00+00:00,5,0.45,GCP
LOG32,VM100116,CloudWatch,2026-01-02 08:00:00+00:00,4,0.42,GCP
LOG33,VM100246,AzureMonitor,2026-01-02 09:00:00+00:00,5,0.47,GCP
LOG34,VM100093,AzureMonitor,2026-01-02 10:00:00+00:00,3,0.55,GCP
LOG35,VM100223,AzureMonitor,2026-01-02 11:00:00+00:00,4,0.29,Azure
LOG36,VM100033,Stackdriver,2026-01-02 12:00:00+00:00,4,0.31,GCP
LOG37,VM100011,AzureMonitor,2026-01-02 13:00:00+00:00,4,0.5,GCP
LOG38,VM100251,CloudWatch,2026-01-02 14:00:00+00:00,4,0.5,GCP
LOG39,VM100064,CloudWatch,2026-01-02 15:00:00+00:00,5,0.52,AWS
LOG40,VM100093,CloudWatch,2026-01-02 16:00:00+00:00,4,0.38,Azure
LOG41,VM100063,CloudWatch,2026-01-02 17:00:00+00:00,1,0.42,GCP
LOG42,VM100083,CloudWatch,2026-01-02 18:00:00+00:00,4,0.33,AWS
LOG43,VM100044,CloudWatch,2026-01-02 19:00:00+00:00,4,0.34,GCP
LOG44,VM100088,AzureMonitor,2026-01-02 20:00:00+00:00,5,0.25,Azure
LOG45,VM100024,Stackdriver,2026-01-02 21:00:00+00:00,2,0.45,Azure
LOG46,VM100072,Stackdriver,2026-01-02 22:00:00+00:00,3,0.46,GCP
LOG47,VM100181,Stackdriver,2026-01-02 23:00:00+00:00,4,0.4,GCP
LOG48,VM100051,Stackdriver,2026-01-03 00:00:00+00:00,0,0.32,AWS
LOG49,VM100073,AzureMonitor,2026-01-03 01:00:00+00:00,1,0.54,GCP
LOG50,VM100283,CloudWatch,2026-01-03 02:00:00+00:00,4,0.36,AWS
LOG51,VM100217,CloudWatch,2026-01-03 03:00:00+00:00,4,0.33,Azure
LOG52,VM100084,AzureMonitor,2026-01-03 04:00:00+00:00,3,0.27,Azure
LOG53,VM100218,Stackdriver,2026-01-03 05:00:00+00:00,1,0.41,AWS
LOG54,VM100138,Stackdriver,2026-01-03 06:00:00+00:00,5,0.44,GCP
LOG55,VM100191,Stackdriver,2026-01-03 07:00:00+00:00,5,0.44,GCP
LOG56,VM100084,AzureMonitor,2026-01-03 08:00:00+00:00,1,0.34,Azure
LOG57,VM100195,CloudWatch,2026-01-03 09:00:00+00:00,4,0.32,Azure
LOG58,VM100064,Stackdriver,2026-01-03 10:00:00+00:00,0,0.46,Azure
LOG59,VM100034,AzureMonitor,2026-01-03 11:00:00+00:00,5,0.28,Azure
LOG60,VM100140,CloudWatch,2026-01-03 12:00:00+00:00,1,0.33,AWS
LOG61,VM100194,CloudWatch,2026-01-03 13:00:00+00:00,3,0.54,AWS
LOG62,VM100090,Stackdriver,2026-01-03 14:00:00+00:00,5,0.51,GCP
LOG63,VM100251,CloudWatch,2026-01-03 15:00:00+00:00,4,0.35,GCP
LOG64,VM100145,Stackdriver,2026-01-03 16:00:00+00:00,2,0.43,AWS
LOG65,VM100088,AzureMonitor,2026-01-03 17:00:00+00:00,3,0.3,GCP
LOG66,VM100273,Stackdriver,2026-01-03 18:00:00+00:00,4,0.51,Azure
LOG67,VM100245,Stackdriver,2026-01-03 19:00:00+00:00,1,0.33,GCP
LOG68,VM100263,Stackdriver,2026-01-03 20:00:00+00:00,1,0.45,AWS
LOG69,VM100194,Stackdriver,2026-01-03 21:00:00+00:00,5,0.33,GCP
LOG70,VM100190,Stackdriver,2026-01-03 22:00:00+00:00,1,0.45,Azure
LOG71,VM100235,CloudWatch,2026-01-03 23:00:00+00:00,3,0.55,Azure
LOG72,VM100258,AzureMonitor,2026-01-04 00:00:00+00:00,2,0.54,GCP
LOG73,VM100118,AzureMonitor,2026-01-04 01:00:00+00:00,5,0.51,Azure
LOG74,VM100209,AzureMonitor,2026-01-04 02:00:00+00:00,0,0.44,AWS
LOG75,VM100123,CloudWatch,2026-01-04 03:00:00+00:00,1,0.42,AWS
LOG76,VM100147,Stackdriver,2026-01-04 04:00:00+00:00,3,0.49,AWS
LOG77,VM100218,Stackdriver,2026-01-04 05:00:00+00:00,4,0.53,AWS
LOG78,VM100246,AzureMonitor,2026-01-04 06:00:00+00:00,4,0.46,GCP
LOG79,VM100273,Stackdriver,2026-01-04 07:00:00+00:00,0,0.37,GCP
LOG80,VM100098,Stackdriver,2026-01-04 08:00:00+00:00,0,0.46,GCP
LOG81,VM100274,Stackdriver,2026-01-04 09:00:00+00:00,2,0.32,GCP
LOG82,VM100271,Stackdriver,2026-01-04 10:00:00+00:00,4,0.26,Azure
LOG83,VM100087,Stackdriver,2026-01-04 11:00:00+00:00,4,0.52,AWS
LOG84,VM100039,AzureMonitor,2026-01-04 12:00:00+00:00,1,0.4,AWS
LOG85,VM100217,AzureMonitor,2026-01-04 13:00:00+00:00,3,0.3,AWS
LOG86,VM100174,Stackdriver,2026-01-04 14:00:00+00:00,1,0.5,AWS
LOG87,VM100149,AzureMonitor,2026-01-04 15:00:00+00:00,3,0.34,AWS
LOG88,VM100002,Stackdriver,2026-01-04 16:00:00+00:00,5,0.42,AWS
LOG89,VM100157,Stackdriver,2026-01-04 17:00:00+00:00,4,0.5,AWS
LOG90,VM100238,Stackdriver,2026-01-04 18:00:00+00:00,3,0.27,AWS
LOG91,VM100236,AzureMonitor,2026-01-04 19:00:00+00:00,2,0.36,AWS
LOG92,VM100180,Stackdriver,2026-01-04 20:00:00+00:00,1,0.37,AWS
LOG93,VM100052,AzureMonitor,2026-01-04 21:00:00+00:00,3,0.31,GCP
LOG94,VM100264,CloudWatch,2026-01-04 22:00:00+00:00,3,0.29,Azure
LOG95,VM100004,CloudWatch,2026-01-04 23:00:00+00:00,5,0.33,Azure
LOG96,VM100203,AzureMonitor,2026-01-05 00:00:00+00:00,2,0.36,AWS
LOG97,VM100275,AzureMonitor,2026-01-05 01:00:00+00:00,0,0.55,GCP
LOG98,VM100225,CloudWatch,2026-01-05 02:00:00+00:00,1,0.36,Azure
LOG99,VM100003,AzureMonitor,2026-01-05 03:00:00+00:00,5,0.31,AWS
LOG100,VM100146,CloudWatch,2026-01-05 04:00:00+00:00,1,0.37,GCP
LOG101,VM100170,CloudWatch,2026-01-05 05:00:00+00:00,1,0.45,Azure
LOG102,VM100137,CloudWatch,2026-01-05 06:00:00+00:00,3,0.4,Azure
LOG103,VM100066,AzureMonitor,2026-01-05 07:00:00+00:00,3,0.4,GCP
LOG104,VM100200,CloudWatch,2026-01-05 08:00:00+00:00,0,0.54,AWS
LOG105,VM100065,CloudWatch,2026-01-05 09:00:00+00:00,2,0.4,GCP
LOG106,VM100122,CloudWatch,2026-01-05 10:00:00+00:00,5,0.5,Azure
LOG107,VM100005,AzureMonitor,2026-01-05 11:00:00+00:00,3,0.34,Azure
LOG108,VM100043,AzureMonitor,2026-01-05 12:00:00+00:00,1,0.44,GCP
LOG109,VM100262,CloudWatch,2026-01-05 13:00:00+00:00,1,0.33,AWS
LOG110,VM100135,Stackdriver,2026-01-05 14:00:00+00:00,1,0.45,Azure
LOG111,VM100102,AzureMonitor,2026-01-05 15:00:00+00:00,5,0.48,AWS
LOG112,VM100258,Stackdriver,2026-01-05 16:00:00+00:00,1,0.31,GCP
LOG113,VM100077,CloudWatch,2026-01-05 17:00:00+00:00,0,0.29,AWS
LOG114,VM100141,CloudWatch,2026-01-05 18:00:00+00:00,1,0.38,GCP
LOG115,VM100103,CloudWatch,2026-01-05 19:00:00+00:00,0,0.36,GCP
LOG116,VM100157,Stackdriver,2026-01-05 20:00:00+00:00,5,0.54,AWS
LOG117,VM100173,AzureMonitor,2026-01-05 21:00:00+00:00,3,0.27,Azure
LOG118,VM100027,AzureMonitor,2026-01-05 22:00:00+00:00,0,0.33,Azure
LOG119,VM100180,Stackdriver,2026-01-05 23:00:00+00:00,3,0.32,AWS
LOG120,VM100094,CloudWatch,2026-01-06 00:00:00+00:00,0,0.27,GCP
LOG121,VM100165,CloudWatch,2026-01-06 01:00:00+00:00,2,0.39,GCP
LOG122,VM100052,AzureMonitor,2026-01-06 02:00:00+00:00,1,0.33,Azure
LOG123,VM100187,AzureMonitor,2026-01-06 03:00:00+00:00,2,0.28,GCP
LOG124,VM100007,Stackdriver,2026-01-06 04:00:00+00:00,4,0.48,AWS
LOG125,VM100170,AzureMonitor,2026-01-06 05:00:00+00:00,5,0.49,GCP
LOG126,VM100271,Stackdriver,2026-01-06 06:00:00+00:00,2,0.32,Azure
LOG127,VM100108,Stackdriver,2026-01-06 07:00:00+00:00,3,0.28,AWS
LOG128,VM100067,Stackdriver,2026-01-06 08:00:00+00:00,5,0.43,AWS
LOG129,VM100098,CloudWatch,2026-01-06 09:00:00+00:00,5,0.38,AWS
LOG130,VM100039,Stackdriver,2026-01-06 10:00:00+00:00,4,0.35,GCP
LOG131,VM100243,CloudWatch,2026-01-06 11:00:00+00:00,4,0.47,AWS
LOG132,VM100066,CloudWatch,2026-01-06 12:00:00+00:00,3,0.42,Azure
LOG133,VM100287,AzureMonitor,2026-01-06 13:00:00+00:00,2,0.38,GCP
LOG134,VM100061,AzureMonitor,2026-01-06 14:00:00+00:00,0,0.39,GCP
LOG135,VM100258,CloudWatch,2026-01-06 15:00:00+00:00,1,0.43,GCP
LOG136,VM100067,AzureMonitor,2026-01-06 16:00:00+00:00,0,0.54,AWS
LOG137,VM100098,Stackdriver,2026-01-06 17:00:00+00:00,3,0.4,GCP
LOG138,VM100263,CloudWatch,2026-01-06 18:00:00+00:00,1,0.38,GCP
LOG139,VM100197,Stackdriver,2026-01-06 19:00:00+00:00,3,0.37,Azure
LOG140,VM100106,CloudWatch,2026-01-06 20:00:00+00:00,0,0.3,AWS
LOG141,VM100005,Stackdriver,2026-01-06 21:00:00+00:00,3,0.4,GCP
LOG142,VM100269,AzureMonitor,2026-01-06 22:00:00+00:00,2,0.51,Azure
LOG143,VM100138,Stackdriver,2026-01-06 23:00:00+00:00,0,0.3,AWS
LOG144,VM100274,CloudWatch,2026-01-07 00:00:00+00:00,2,0.26,AWS
LOG145,VM100143,CloudWatch,2026-01-07 01:00:00+00:00,2,0.51,AWS
LOG146,VM100128,CloudWatch,2026-01-07 02:00:00+00:00,4,0.28,GCP
LOG147,VM100178,Stackdriver,2026-01-07 03:00:00+00:00,4,0.54,Azure
LOG148,VM100043,Stackdriver,2026-01-07 04:00:00+00:00,4,0.33,AWS
LOG149,VM100210,Stackdriver,2026-01-07 05:00:00+00:00,2,0.35,AWS
LOG150,VM100006,AzureMonitor,2026-01-07 06:00:00+00:00,1,0.47,Azure
LOG151,VM100091,AzureMonitor,2026-01-07 07:00:00+00:00,0,0.41,GCP
LOG152,VM100055,Stackdriver,2026-01-07 08:00:00+00:00,5,0.46,GCP
LOG153,VM100132,Stackdriver,2026-01-07 09:00:00+00:00,5,0.43,AWS
LOG154,VM100227,CloudWatch,2026-01-07 10:00:00+00:00,2,0.33,GCP
LOG155,VM100203,CloudWatch,2026-01-07 11:00:00+00:00,3,0.32,GCP
LOG156,VM100223,AzureMonitor,2026-01-07 12:00:00+00:00,1,0.52,AWS
LOG157,VM100254,CloudWatch,2026-01-07 13:00:00+00:00,3,0.31,AWS
LOG158,VM100097,Stackdriver,2026-01-07 14:00:00+00:00,3,0.53,AWS
LOG159,VM100145,CloudWatch,2026-01-07 15:00:00+00:00,2,0.3,AWS
LOG160,VM100202,Stackdriver,2026-01-07 16:00:00+00:00,4,0.31,AWS
LOG161,VM100037,AzureMonitor,2026-01-07 17:00:00+00:00,1,0.39,GCP
LOG162,VM100207,CloudWatch,2026-01-07 18:00:00+00:00,5,0.41,GCP
LOG163,VM100007,Stackdriver,2026-01-07 19:00:00+00:00,0,0.36,AWS
LOG164,VM100057,CloudWatch,2026-01-07 20:00:00+00:00,5,0.53,AWS
LOG165,VM100128,CloudWatch,2026-01-07 21:00:00+00:00,2,0.29,GCP
LOG166,VM100007,CloudWatch,2026-01-07 22:00:00+00:00,0,0.41,Azure
LOG167,VM100044,CloudWatch,2026-01-07 23:00:00+00:00,1,0.39,GCP
LOG168,VM100228,CloudWatch,2026-01-08 00:00:00+00:00,2,0.35,AWS
LOG169,VM100125,CloudWatch,2026-01-08 01:00:00+00:00,4,0.46,GCP
LOG170,VM100279,CloudWatch,2026-01-08 02:00:00+00:00,0,0.5,AWS
LOG171,VM100279,AzureMonitor,2026-01-08 03:00:00+00:00,0,0.4,Azure
LOG172,VM100073,CloudWatch,2026-01-08 04:00:00+00:00,1,0.26,Azure
LOG173,VM100198,CloudWatch,2026-01-08 05:00:00+00:00,2,0.45,AWS
LOG174,VM100197,Stackdriver,2026-01-08 06:00:00+00:00,5,0.5,AWS
LOG175,VM100252,CloudWatch,2026-01-08 07:00:00+00:00,0,0.32,Azure
LOG176,VM100183,CloudWatch,2026-01-08 08:00:00+00:00,4,0.35,Azure
LOG177,VM100044,CloudWatch,2026-01-08 09:00:00+00:00,4,0.3,Azure
LOG178,VM100272,AzureMonitor,2026-01-08 10:00:00+00:00,4,0.3,Azure
LOG179,VM100077,Stackdriver,2026-01-08 11:00:00+00:00,5,0.34,Azure
LOG180,VM100179,CloudWatch,2026-01-08 12:00:00+00:00,2,0.52,GCP
LOG181,VM100189,AzureMonitor,2026-01-08 13:00:00+00:00,5,0.49,AWS
LOG182,VM100077,Stackdriver,2026-01-08 14:00:00+00:00,1,0.35,Azure
LOG183,VM100229,Stackdriver,2026-01-08 15:00:00+00:00,3,0.49,AWS
