Ticket_ID,Customer_ID,Incident_ID,Ticket_Description,Severity,Category
TKT1,CUST2095,INC5075,User email test@example.com unable to login. Call 9876543210.,HIGH,BILLING
TKT2,CUST2063,INC5052,User email test@example.com unable to login. Call 9876543210., CRITICAL , Storage 
TKT3,CUST2030,INC5092,,low,billing
TKT4,CUST2055,INC5074,User email test@example.com unable to login. Call 9876543210.,HIGH,BILLING
TKT5,CUST2035,INC5083,User email test@example.com unable to login. Call 9876543210., CRITICAL , Storage 
TKT6,CUST2015,INC5064,User email test@example.com unable to login. Call 9876543210.,high,storage
TKT7,CUST2090,INC5056,,LOW,PERFORMANCE
TKT8,CUST2037,INC5093,User email test@example.com unable to login. Call 9876543210., MEDIUM , Storage 
TKT9,CUST2045,INC5057,User email test@example.com unable to login. Call 9876543210.,medium,performance
TKT10,CUST2076,INC5088,User email test@example.com unable to login. Call 9876543210.,HIGH,STORAGE
TKT11,CUST2017,INC5038,User email test@example.com unable to login. Call 9876543210., CRITICAL , Storage 
TKT12,CUST2087,INC5084,User email test@example.com unable to login. Call 9876543210.,high,storage
TKT13,CUST2021,INC5080,User email test@example.com unable to login. Call 9876543210.,MEDIUM,LOGIN
TKT14,CUST2089,INC5096,User email test@example.com unable to login. Call 9876543210., LOW , Storage 
TKT15,CUST2017,INC5023,User email test@example.com unable to login. Call 9876543210.,medium,performance
TKT16,CUST2078,INC5063,User email test@example.com unable to login. Call 9876543210.,LOW,STORAGE
TKT17,CUST2064,INC5039,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Performance
TKT18,CUST2072,INC5007,User email test@example.com unable to login. Call 9876543210.,LOW,Login
TKT19,CUST2034,INC5046,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Performance
TKT20,CUST2065,INC5005,User email test@example.com unable to login. Call 9876543210.,LOW,Login
TKT21,CUST2056,INC5015,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Billing
TKT22,CUST2072,INC5029,User email test@example.com unable to login. Call 9876543210.,CRITICAL,Login
TKT23,CUST2044,INC5046,User email test@example.com unable to login. Call 9876543210.,LOW,Login
TKT24,CUST2020,INC5089,User email test@example.com unable to login. Call 9876543210.,LOW,Billing
TKT25,CUST2057,INC5059,User email test@example.com unable to login. Call 9876543210.,LOW,Billing
TKT26,CUST2079,INC5079,User email test@example.com unable to login. Call 9876543210.,LOW,Billing
TKT27,CUST2065,INC5014,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Billing
TKT28,CUST2027,INC5047,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Login
TKT29,CUST2091,INC5057,User email test@example.com unable to login. Call 9876543210.,CRITICAL,Billing
TKT30,CUST2020,INC5083,User email test@example.com unable to login. Call 9876543210.,HIGH,Login
TKT31,CUST2018,INC5016,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Storage
TKT32,CUST2054,INC5099,User email test@example.com unable to login. Call 9876543210.,LOW,Performance
TKT33,CUST2061,INC5044,User email test@example.com unable to login. Call 9876543210.,HIGH,Performance
TKT34,CUST2011,INC5035,User email test@example.com unable to login. Call 9876543210.,HIGH,Storage
TKT35,CUST2047,INC5081,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Performance
TKT36,CUST2097,INC5097,User email test@example.com unable to login. Call 9876543210.,CRITICAL,Performance
TKT37,CUST2018,INC5055,User email test@example.com unable to login. Call 9876543210.,CRITICAL,Storage
TKT38,CUST2059,INC5067,User email test@example.com unable to login. Call 9876543210.,HIGH,Billing
TKT39,CUST2057,INC5019,User email test@example.com unable to login. Call 9876543210.,LOW,Billing
TKT40,CUST2011,INC5044,User email test@example.com unable to login. Call 9876543210.,HIGH,Storage
TKT41,CUST2099,INC5022,User email test@example.com unable to login. Call 9876543210.,CRITICAL,Billing
TKT42,CUST2051,INC5098,User email test@example.com unable to login. Call 9876543210.,LOW,Performance
TKT43,CUST2074,INC5008,User email test@example.com unable to login. Call 9876543210.,HIGH,Storage
TKT44,CUST2052,INC5088,User email test@example.com unable to login. Call 9876543210.,HIGH,Login
TKT45,CUST2045,INC5002,User email test@example.com unable to login. Call 9876543210.,HIGH,Performance
TKT46,CUST2090,INC5052,User email test@example.com unable to login. Call 9876543210.,CRITICAL,Performance
TKT47,CUST2070,INC5080,User email test@example.com unable to login. Call 9876543210.,CRITICAL,Login
TKT48,CUST2084,INC5052,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Login
TKT49,CUST2011,INC5005,User email test@example.com unable to login. Call 9876543210.,HIGH,Storage
TKT50,CUST2093,INC5093,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Login
TKT51,CUST2028,INC5012,User email test@example.com unable to login. Call 9876543210.,HIGH,Login
TKT52,CUST2097,INC5082,User email test@example.com unable to login. Call 9876543210.,MEDIUM,Billing
