SKU,Service
 SKU13 , Compute 
 SKU14 , Storage 
 SKU19 , Compute 
 SKU6 , Storage 
 SKU9 , Network 
SKU1,Storage
SKU1,Compute
SKU1,Database
SKU1,Network
SKU10,Network
SKU10,Storage
SKU10,Database
SKU10,Compute
SKU10,STORAGE
SKU11,Network
SKU11,Storage
SKU11,Compute
SKU11,Database
SKU12,Compute
SKU12,Database
SKU12,Network
SKU12,Storage
SKU13,DATABASE
SKU13,Database
SKU13,Compute
SKU13,Network
SKU13,Storage
SKU14,Database
SKU14,Compute
SKU14,Storage
SKU14,Network
SKU15,Database
SKU15,Compute
SKU15,Network
SKU15,Storage
SKU16,Storage
SKU16,Compute
SKU16,Database
SKU16,Network
SKU17,Database
SKU17,Network
SKU17,Storage
SKU17,Compute
SKU18,Compute
SKU18,Database
SKU18,Storage
SKU18,Network
SKU19,Network
SKU19,Storage
SKU19,Database
SKU19,Compute
SKU2,Storage
SKU2,Network
SKU2,Database
SKU2,Compute
SKU20,Compute
SKU20,Storage
SKU20,Network
SKU20,Database
SKU20,DATABASE
SKU20,COMPUTE
SKU3,Storage
SKU3,Network
SKU3,Database
SKU3,Compute
SKU4,Network
SKU4,Compute
SKU4,Storage
SKU4,Database
SKU5,Network
SKU5,Database
SKU5,Storage
SKU5,Compute
SKU6,Compute
SKU6,Network
SKU6,Database
SKU6,Storage
SKU7,Compute
SKU7,Storage
SKU7,Database
SKU7,Network
SKU8,NETWORK
SKU8,Compute
SKU8,Network
SKU8,DATABASE
SKU8,Database
SKU8,Storage
SKU9,Storage
SKU9,Compute
SKU9,Database
SKU9,Network
sku11,storage
sku19,database
sku4,database
sku7,database
sku8,storage
