Usage_ID,Account,Resource_ID,TS,Service,SKU,Usage,Unit,Cost,Currency,Credit_Amount,Price_Per_Second,Effective_Date
U1,ACCT1082,VM100058,2026-01-05T06:00:00,DATABASE,SKU8,48698,hrs ,$3895.84,INR,0.0,0.08,2026-01-01
U2, ACCT1029 ,VM100072,2026-05-06T16:00:00, Compute , SKU19 ,6817,hrs ,545.36, INR ,0.0,0.08,2026-01-01
U3,acct1055,VM100017,2026-01-06T02:00:00,storage,sku8,6240,Sec,499.2,inr,,0.08,2026-01-01
U4,ACCT1065,VM100014,2026-04-06T18:00:00,NETWORK,SKU8,13131,sec,$1050.48,INR,0.0,0.08,2026-01-01
U5, ACCT1058 ,VM100143,2026-05-19T03:00:00, Storage , SKU14 ,525,sec,42, INR ,0.0,0.08,2026-01-01
U6,acct1044,VM100143,2026-01-27T12:00:00,database,sku4,14210,sec,1136.8,inr,0.0,0.08,2026-01-01
U7,ACCT1012,VM100195,2026-01-17T12:00:00,DATABASE,SKU20,23626,sec,1890.08,INR,,0.08,2026-01-01
U8, ACCT1034 ,VM100023,2026-05-05T12:00:00, Compute , SKU13 ,30208,sec,2416.64, INR ,100.0,0.08,2026-01-01
U9,acct1011,VM100283,2026-02-20T00:00:00,database,sku19,41298,sec,3303.84,inr,0.0,0.08,2026-01-01
U10,ACCT1025,VM100036,2026-01-08T19:00:00,STORAGE,SKU10,43436,sec,3474.88,INR,0.0,0.08,2026-01-01
U11, ACCT1011 ,VM100120,2026-05-28T21:00:00, Network , SKU9 ,6719,sec,537.52, INR ,0.0,0.08,2026-01-01
U12,acct1059,VM100187,2026-01-28T18:00:00,database,sku7,24360,sec,1948.8,inr,0.0,0.08,2026-01-01
U13,ACCT1086,VM100137,2026-04-30T18:00:00,COMPUTE,SKU20,44896,sec,3591.68,INR,0.0,0.08,2026-01-01
U14, ACCT1082 ,VM100088,2026-04-02T03:00:00, Storage , SKU6 ,47884,sec,3830.72, INR ,0.0,0.08,2026-01-01
U15,acct1060,VM100195,2026-02-16T01:00:00,storage,sku11,42043,sec,3363.44,inr,0.0,0.08,2026-01-01
U16,ACCT1099,VM100029,2026-02-09T02:00:00,DATABASE,SKU13,2203,sec,176.24,INR,100.0,0.08,2026-01-01
U17,ACCT1035,VM100034,2026-02-06T00:00:00,Database,SKU7,37270,sec,2981.6,INR,0.0,0.08,2026-01-01
U18,ACCT1084,VM100256,2026-03-09T12:00:00,Network,SKU5,42229,sec,3378.32,INR,0.0,0.08,2026-01-01
U19,ACCT1034,VM100072,2026-02-12T02:00:00,Database,SKU19,48923,sec,3913.84,INR,0.0,0.08,2026-01-01
U20,ACCT1055,VM100299,2026-03-10T03:00:00,Storage,SKU5,23823,sec,1905.84,INR,0.0,0.08,2026-01-01
U21,ACCT1066,VM100253,2026-01-16T12:00:00,Compute,SKU4,49630,sec,3970.4,INR,0.0,0.08,2026-01-01
U22,ACCT1020,VM100082,2026-05-16T04:00:00,Network,SKU20,44696,sec,3575.68,INR,0.0,0.08,2026-01-01
U23,ACCT1009,VM100198,2026-03-07T03:00:00,Network,SKU17,39152,sec,3132.16,INR,0.0,0.08,2026-01-01
U24,ACCT1033,VM100284,2026-05-27T21:00:00,Compute,SKU18,852,sec,68.16,INR,100.0,0.08,2026-01-01
