Incident_ID,Resource_ID,Open_Time,Close_Time,Severity,Status,Error_Count,SLA_Status
INC5001,VM100081,2026-05-02T15:00:00,2026-05-02T17:43:00,LOW,CLOSED,12,Breached
INC5002,VM100181,2026-05-08T18:00:00,2026-05-08T19:56:00, HIGH , Closed ,10,Met
INC5003,VM100066,2026-01-09T18:00:00,,high,closed,11,Met
INC5004,VM100050,2026-06-11T10:00:00,2026-06-11T11:57:00,CRITICAL,CLOSED,11,Breached
INC5005,VM100126,2026-04-17T11:00:00,2026-04-17T11:34:00, MEDIUM , Closed ,7,Breached
INC5006,VM100034,2026-06-02T02:00:00,2026-06-02T05:16:00,high,closed,3,Breached
INC5007,VM100167,2026-02-14T00:00:00,,LOW,CLOSED,14,Breached
INC5008,VM100137,2026-05-27T16:00:00,2026-05-27T18:07:00, LOW , Closed ,15,Met
INC5009,VM100200,2026-03-24T12:00:00,2026-03-24T14:46:00,high,closed,18,Met
INC5010,VM100106,2026-05-07T03:00:00,2026-05-07T06:16:00,HIGH,CLOSED,15,Breached
INC5011,VM100187,2026-02-13T19:00:00,2026-02-13T20:36:00, CRITICAL , Closed ,6,Breached
INC5012,VM100275,2026-06-13T02:00:00,2026-06-13T05:55:00,medium,closed,9,Breached
INC5013,VM100206,2026-01-14T09:00:00,2026-01-14T11:46:00,MEDIUM,CLOSED,19,Met
INC5014,VM100173,2026-05-30T03:00:00,2026-05-30T05:51:00, HIGH , Closed ,2,Breached
INC5015,VM100040,2026-04-21T06:00:00,2026-04-21T07:48:00,high,closed,16,Breached
INC5016,VM100161,2026-04-22T21:00:00,2026-04-22T23:38:00,MEDIUM,CLOSED,13,Breached
INC5017,VM100233,2026-03-07T19:00:00,2026-03-07T21:31:00,MEDIUM,Closed,0,Met
INC5018,VM100240,2026-05-29T15:00:00,2026-05-29T16:14:00,HIGH,Closed,20,Breached
INC5019,VM100031,2026-05-26T23:00:00,2026-05-27T02:00:00,MEDIUM,Closed,11,Breached
INC5020,VM100154,2026-02-08T07:00:00,2026-02-08T07:58:00,CRITICAL,Closed,13,Breached
INC5021,VM100212,2026-01-18T20:00:00,2026-01-18T21:12:00,HIGH,Closed,9,Met
INC5022,VM100121,2026-03-08T21:00:00,2026-03-08T23:53:00,CRITICAL,Closed,7,Met
INC5023,VM100126,2026-02-09T06:00:00,2026-02-09T06:27:00,HIGH,Closed,14,Breached
INC5024,VM100019,2026-05-25T13:00:00,2026-05-25T15:08:00,MEDIUM,Closed,5,Breached
INC5025,VM100143,2026-02-05T00:00:00,2026-02-05T01:26:00,MEDIUM,Closed,20,Met
INC5026,VM100043,2026-05-06T00:00:00,2026-05-06T00:34:00,HIGH,Closed,19,Breached
INC5027,VM100047,2026-01-18T13:00:00,2026-01-18T14:53:00,CRITICAL,Closed,4,Met
INC5028,VM100257,2026-01-30T18:00:00,2026-01-30T21:28:00,LOW,Closed,16,Breached
INC5029,VM100063,2026-05-09T02:00:00,2026-05-09T03:20:00,HIGH,Closed,10,Breached
INC5030,VM100074,2026-03-03T13:00:00,2026-03-03T14:15:00,LOW,Closed,5,Met
INC5031,VM100131,2026-03-13T14:00:00,2026-03-13T16:04:00,LOW,Closed,15,Breached
INC5032,VM100280,2026-06-30T03:00:00,2026-06-30T04:41:00,CRITICAL,Closed,15,Met
INC5033,VM100244,2026-03-14T04:00:00,2026-03-14T05:52:00,HIGH,Closed,9,Met
INC5034,VM100028,2026-06-16T19:00:00,2026-06-16T19:28:00,MEDIUM,Closed,8,Breached
INC5035,VM100186,2026-03-22T20:00:00,2026-03-22T23:19:00,LOW,Closed,17,Met
INC5036,VM100202,2026-04-25T12:00:00,2026-04-25T12:22:00,HIGH,Closed,9,Met
INC5037,VM100083,2026-03-03T09:00:00,2026-03-03T10:13:00,CRITICAL,Closed,20,Breached
INC5038,VM100018,2026-06-15T13:00:00,2026-06-15T16:42:00,HIGH,Closed,2,Breached
INC5039,VM100171,2026-05-02T23:00:00,2026-05-03T01:05:00,CRITICAL,Closed,3,Met
INC5040,VM100034,2026-06-29T08:00:00,2026-06-29T10:29:00,HIGH,Closed,13,Breached
INC5041,VM100027,2026-04-28T22:00:00,2026-04-28T22:27:00,MEDIUM,Closed,20,Breached
INC5042,VM100206,2026-06-15T04:00:00,2026-06-15T04:20:00,MEDIUM,Closed,20,Breached
INC5043,VM100057,2026-03-23T18:00:00,2026-03-23T18:41:00,MEDIUM,Closed,7,Met
INC5044,VM100164,2026-06-03T21:00:00,2026-06-03T23:05:00,CRITICAL,Closed,15,Met
INC5045,VM100168,2026-03-09T05:00:00,2026-03-09T08:15:00,HIGH,Closed,6,Met
INC5046,VM100202,2026-04-18T11:00:00,2026-04-18T12:06:00,CRITICAL,Closed,18,Met
INC5047,VM100118,2026-01-07T00:00:00,2026-01-07T02:42:00,LOW,Closed,14,Met
INC5048,VM100087,2026-03-10T22:00:00,2026-03-11T01:58:00,LOW,Closed,12,Breached
INC5049,VM100046,2026-06-04T08:00:00,2026-06-04T08:58:00,HIGH,Closed,5,Met
INC5050,VM100223,2026-01-05T22:00:00,2026-01-06T00:34:00,CRITICAL,Closed,15,Met
INC5051,VM100098,2026-02-28T22:00:00,2026-02-28T23:12:00,HIGH,Closed,9,Breached
INC5052,VM100106,2026-04-09T04:00:00,2026-04-09T06:10:00,MEDIUM,Closed,9,Met
INC5053,VM100075,2026-04-19T05:00:00,2026-04-19T07:04:00,LOW,Closed,9,Breached
INC5054,VM100128,2026-03-03T19:00:00,2026-03-03T21:15:00,HIGH,Closed,18,Breached
INC5055,VM100069,2026-01-23T00:00:00,2026-01-23T02:20:00,HIGH,Closed,12,Met
INC5056,VM100132,2026-04-10T22:00:00,2026-04-11T00:08:00,LOW,Closed,3,Met
INC5057,VM100242,2026-01-15T10:00:00,2026-01-15T11:20:00,HIGH,Closed,19,Met
INC5058,VM100196,2026-01-03T08:00:00,2026-01-03T10:29:00,HIGH,Closed,12,Breached
INC5059,VM100298,2026-02-04T17:00:00,2026-02-04T17:30:00,MEDIUM,Closed,8,Met
INC5060,VM100240,2026-05-10T15:00:00,2026-05-10T16:46:00,MEDIUM,Closed,2,Breached
INC5061,VM100134,2026-05-17T13:00:00,2026-05-17T13:56:00,LOW,Closed,10,Met
INC5062,VM100144,2026-02-03T15:00:00,2026-02-03T18:53:00,HIGH,Closed,13,Breached
INC5063,VM100136,2026-03-10T19:00:00,2026-03-10T22:52:00,HIGH,Closed,13,Met
INC5064,VM100078,2026-03-23T23:00:00,2026-03-24T01:25:00,CRITICAL,Closed,1,Met
INC5065,VM100094,2026-02-09T01:00:00,2026-02-09T02:18:00,LOW,Closed,15,Breached
INC5066,VM100224,2026-02-12T22:00:00,2026-02-13T00:19:00,LOW,Closed,15,Met
INC5067,VM100288,2026-04-25T11:00:00,2026-04-25T14:21:00,CRITICAL,Closed,14,Breached
INC5068,VM100064,2026-01-30T23:00:00,2026-01-30T23:57:00,HIGH,Closed,2,Met
INC5069,VM100087,2026-03-15T05:00:00,2026-03-15T08:53:00,HIGH,Closed,18,Met
INC5070,VM100293,2026-05-31T00:00:00,2026-05-31T02:34:00,MEDIUM,Closed,13,Met
INC5071,VM100049,2026-03-06T15:00:00,2026-03-06T18:13:00,HIGH,Closed,0,Breached
INC5072,VM100202,2026-06-25T21:00:00,2026-06-25T21:51:00,HIGH,Closed,18,Met
INC5073,VM100042,2026-03-25T04:00:00,2026-03-25T04:27:00,CRITICAL,Closed,15,Breached
INC5074,VM100003,2026-06-11T08:00:00,2026-06-11T10:52:00,HIGH,Closed,1,Breached
INC5075,VM100292,2026-03-26T23:00:00,2026-03-27T02:27:00,MEDIUM,Closed,6,Met
INC5076,VM100029,2026-06-15T09:00:00,2026-06-15T10:42:00,LOW,Closed,17,Breached
INC5077,VM100092,2026-01-25T12:00:00,2026-01-25T13:25:00,MEDIUM,Closed,12,Met
INC5078,VM100199,2026-01-07T06:00:00,2026-01-07T07:01:00,CRITICAL,Closed,9,Met
INC5079,VM100222,2026-02-01T09:00:00,2026-02-01T11:25:00,HIGH,Closed,19,Met
INC5080,VM100189,2026-04-03T21:00:00,2026-04-03T21:44:00,MEDIUM,Closed,15,Breached
INC5081,VM100289,2026-04-11T15:00:00,2026-04-11T16:28:00,CRITICAL,Closed,2,Breached
