Account,Customer_ID,Department,Project,Revenue,Discount,Subscription_Status,Last_Login
ACCT1001,CUST2001,IT,PRJ-125,42004,5,Active,2026-06-30
 ACCT1002 ,CUST2002,Sales,PRJ-116,34114,10,Trial,2026-06-30
acct1003,CUST2003,R&D,PRJ-120,44844,19,Active,2026-06-30
ACCT1004,CUST2004,R&D,PRJ-112,76083,3,Active,2026-06-30
 ACCT1005 ,CUST2005,Finance,PRJ-103,66737,10,Active,2026-06-30
acct1006,CUST2006,IT,PRJ-112,61450,0,Trial,2026-06-30
ACCT1007,CUST2007,Finance,PRJ-114,48848,2,Cancelled,2026-06-30
 ACCT1008 ,CUST2008,HR,PRJ-120,68362,1,Active,2026-06-30
acct1009,CUST2009,Finance,PRJ-113,59522,19,Trial,2026-06-30
ACCT1010,CUST2010,IT,PRJ-122,90278,18,Active,2026-06-30
 ACCT1011 ,CUST2011,HR,PRJ-130,32418,19,Trial,2026-06-30
acct1012,CUST2012,Sales,PRJ-121,37423,10,Active,2026-06-30
ACCT1013,CUST2013,HR,PRJ-127,83193,2,Trial,2026-06-30
 ACCT1014 ,CUST2014,IT,PRJ-119,96681,14,Trial,2026-06-30
acct1015,CUST2015,R&D,PRJ-120,50464,16,Cancelled,2026-06-30
ACCT1016,CUST2016,IT,PRJ-107,22780,19,Active,2026-06-30
ACCT1017,CUST2017,HR,PRJ-107,76164,7,Cancelled,2026-06-30
ACCT1018,CUST2018,IT,PRJ-101,38029,11,Trial,2026-06-30
ACCT1019,CUST2019,HR,PRJ-106,39879,12,Active,2026-06-30
ACCT1020,CUST2020,IT,PRJ-107,98390,14,Cancelled,2026-06-30
ACCT1021,CUST2021,HR,PRJ-104,56454,10,Cancelled,2026-06-30
ACCT1022,CUST2022,IT,PRJ-116,74380,20,Trial,2026-06-30
ACCT1023,CUST2023,IT,PRJ-107,63420,10,Active,2026-06-30
ACCT1024,CUST2024,Finance,PRJ-117,27087,7,Cancelled,2026-06-30
ACCT1025,CUST2025,Finance,PRJ-119,70002,16,Trial,2026-06-30
ACCT1026,CUST2026,Finance,PRJ-114,20792,2,Trial,2026-06-30
ACCT1027,CUST2027,IT,PRJ-130,45226,1,Cancelled,2026-06-30
ACCT1028,CUST2028,Finance,PRJ-130,46767,4,Active,2026-06-30
ACCT1029,CUST2029,Finance,PRJ-118,91938,6,Active,2026-06-30
ACCT1030,CUST2030,R&D,PRJ-102,75868,14,Trial,2026-06-30
ACCT1031,CUST2031,Finance,PRJ-123,45891,7,Trial,2026-06-30
ACCT1032,CUST2032,Finance,PRJ-119,52632,9,Trial,2026-06-30
ACCT1033,CUST2033,R&D,PRJ-114,46398,8,Trial,2026-06-30
ACCT1034,CUST2034,IT,PRJ-130,67131,12,Trial,2026-06-30
ACCT1035,CUST2035,Finance,PRJ-115,77852,13,Cancelled,2026-06-30
ACCT1036,CUST2036,R&D,PRJ-123,76810,4,Trial,2026-06-30
ACCT1037,CUST2037,IT,PRJ-124,69993,13,Active,2026-06-30
ACCT1038,CUST2038,HR,PRJ-119,90411,4,Cancelled,2026-06-30
ACCT1039,CUST2039,Finance,PRJ-108,69866,14,Trial,2026-06-30
ACCT1040,CUST2040,Sales,PRJ-109,69171,17,Cancelled,2026-06-30
ACCT1041,CUST2041,Sales,PRJ-102,63677,4,Cancelled,2026-06-30
ACCT1042,CUST2042,Sales,PRJ-106,40280,6,Active,2026-06-30
ACCT1043,CUST2043,IT,PRJ-127,85627,11,Trial,2026-06-30
ACCT1044,CUST2044,Sales,PRJ-129,74502,12,Cancelled,2026-06-30
ACCT1045,CUST2045,HR,PRJ-112,84166,9,Cancelled,2026-06-30
ACCT1046,CUST2046,R&D,PRJ-102,73580,1,Active,2026-06-30
ACCT1047,CUST2047,Sales,PRJ-129,94135,5,Active,2026-06-30
ACCT1048,CUST2048,Sales,PRJ-130,53457,11,Cancelled,2026-06-30
