Log_ID,Resource_ID,Log_Source,Log_Timestamp,Security_Event_Count,Carbon_Factor,Cloud_Provider
LOG1,VM100058,CLOUDWATCH,2026-01-01T01:00:00,2,0.47,AWS
LOG2,VM100060, Stackdriver ,2026-01-01T02:00:00,2,0.29, Azure 
LOG3,VM100195,stackdriver,2026-01-01T03:00:00,5,0.25,aws
LOG4,VM100275,CLOUDWATCH,2026-01-01T04:00:00,3,0.54,AZURE
LOG5,VM100187, Stackdriver ,2026-01-01T05:00:00,1,0.41, GCP 
LOG6,VM100114,cloudwatch,2026-01-01T06:00:00,3,0.25,azure
LOG7,VM100162,CLOUDWATCH,2026-01-01T07:00:00,2,0.5,AZURE
LOG8,VM100234, CloudWatch ,2026-01-01T08:00:00,4,0.34, GCP 
LOG9,VM100018,stackdriver,2026-01-01T09:00:00,2,0.34,gcp
LOG10,VM100064,AZUREMONITOR,2026-01-01T10:00:00,5,0.42,GCP
LOG11,VM100111, AzureMonitor ,2026-01-01T11:00:00,2,0.46, Azure 
LOG12,VM100031,azuremonitor,2026-01-01T12:00:00,1,0.5,aws
LOG13,VM100116,STACKDRIVER,2026-01-01T13:00:00,5,0.27,AWS
LOG14,VM100250, Stackdriver ,2026-01-01T14:00:00,3,0.34, GCP 
LOG15,VM100082,cloudwatch,2026-01-01T15:00:00,4,0.37,azure
LOG16,VM100243,AZUREMONITOR,2026-01-01T16:00:00,3,0.37,GCP
LOG17,VM100145,AzureMonitor,2026-01-01T17:00:00,5,0.53,GCP
LOG18,VM100281,AzureMonitor,2026-01-01T18:00:00,0,0.29,GCP
LOG19,VM100028,Stackdriver,2026-01-01T19:00:00,2,0.39,AWS
LOG20,VM100296,CloudWatch,2026-01-01T20:00:00,3,0.46,Azure
LOG21,VM100075,CloudWatch,2026-01-01T21:00:00,1,0.49,AWS
LOG22,VM100005,AzureMonitor,2026-01-01T22:00:00,5,0.51,AWS
LOG23,VM100076,AzureMonitor,2026-01-01T23:00:00,3,0.45,AWS
LOG24,VM100029,CloudWatch,2026-01-02T00:00:00,2,0.54,AWS
LOG25,VM100027,CloudWatch,2026-01-02T01:00:00,4,0.45,GCP
LOG26,VM100223,CloudWatch,2026-01-02T02:00:00,5,0.47,AWS
LOG27,VM100018,CloudWatch,2026-01-02T03:00:00,1,0.37,Azure
LOG28,VM100089,Stackdriver,2026-01-02T04:00:00,5,0.36,GCP
LOG29,VM100046,AzureMonitor,2026-01-02T05:00:00,5,0.36,GCP
LOG30,VM100228,AzureMonitor,2026-01-02T06:00:00,0,0.29,AWS
LOG31,VM100063,AzureMonitor,2026-01-02T07:00:00,5,0.45,GCP
LOG32,VM100116,CloudWatch,2026-01-02T08:00:00,4,0.42,GCP
LOG33,VM100246,AzureMonitor,2026-01-02T09:00:00,5,0.47,GCP
LOG34,VM100093,AzureMonitor,2026-01-02T10:00:00,3,0.55,GCP
LOG35,VM100223,AzureMonitor,2026-01-02T11:00:00,4,0.29,Azure
LOG36,VM100033,Stackdriver,2026-01-02T12:00:00,4,0.31,GCP
LOG37,VM100011,AzureMonitor,2026-01-02T13:00:00,4,0.5,GCP
LOG38,VM100251,CloudWatch,2026-01-02T14:00:00,4,0.5,GCP
LOG39,VM100064,CloudWatch,2026-01-02T15:00:00,5,0.52,AWS
LOG40,VM100093,CloudWatch,2026-01-02T16:00:00,4,0.38,Azure
LOG41,VM100063,CloudWatch,2026-01-02T17:00:00,1,0.42,GCP
LOG42,VM100083,CloudWatch,2026-01-02T18:00:00,4,0.33,AWS
LOG43,VM100044,CloudWatch,2026-01-02T19:00:00,4,0.34,GCP
LOG44,VM100088,AzureMonitor,2026-01-02T20:00:00,5,0.25,Azure
LOG45,VM100024,Stackdriver,2026-01-02T21:00:00,2,0.45,Azure
LOG46,VM100072,Stackdriver,2026-01-02T22:00:00,3,0.46,GCP
LOG47,VM100181,Stackdriver,2026-01-02T23:00:00,4,0.4,GCP
LOG48,VM100051,Stackdriver,2026-01-03T00:00:00,0,0.32,AWS
LOG49,VM100073,AzureMonitor,2026-01-03T01:00:00,1,0.54,GCP
LOG50,VM100283,CloudWatch,2026-01-03T02:00:00,4,0.36,AWS
LOG51,VM100217,CloudWatch,2026-01-03T03:00:00,4,0.33,Azure
LOG52,VM100084,AzureMonitor,2026-01-03T04:00:00,3,0.27,Azure
LOG53,VM100218,Stackdriver,2026-01-03T05:00:00,1,0.41,AWS
LOG54,VM100138,Stackdriver,2026-01-03T06:00:00,5,0.44,GCP
LOG55,VM100191,Stackdriver,2026-01-03T07:00:00,5,0.44,GCP
LOG56,VM100084,AzureMonitor,2026-01-03T08:00:00,1,0.34,Azure
LOG57,VM100195,CloudWatch,2026-01-03T09:00:00,4,0.32,Azure
LOG58,VM100064,Stackdriver,2026-01-03T10:00:00,0,0.46,Azure
LOG59,VM100034,AzureMonitor,2026-01-03T11:00:00,5,0.28,Azure
LOG60,VM100140,CloudWatch,2026-01-03T12:00:00,1,0.33,AWS
LOG61,VM100194,CloudWatch,2026-01-03T13:00:00,3,0.54,AWS
LOG62,VM100090,Stackdriver,2026-01-03T14:00:00,5,0.51,GCP
LOG63,VM100251,CloudWatch,2026-01-03T15:00:00,4,0.35,GCP
LOG64,VM100145,Stackdriver,2026-01-03T16:00:00,2,0.43,AWS
LOG65,VM100088,AzureMonitor,2026-01-03T17:00:00,3,0.3,GCP
LOG66,VM100273,Stackdriver,2026-01-03T18:00:00,4,0.51,Azure
LOG67,VM100245,Stackdriver,2026-01-03T19:00:00,1,0.33,GCP
LOG68,VM100263,Stackdriver,2026-01-03T20:00:00,1,0.45,AWS
LOG69,VM100194,Stackdriver,2026-01-03T21:00:00,5,0.33,GCP
LOG70,VM100190,Stackdriver,2026-01-03T22:00:00,1,0.45,Azure
LOG71,VM100235,CloudWatch,2026-01-03T23:00:00,3,0.55,Azure
LOG72,VM100258,AzureMonitor,2026-01-04T00:00:00,2,0.54,GCP
LOG73,VM100118,AzureMonitor,2026-01-04T01:00:00,5,0.51,Azure
LOG74,VM100209,AzureMonitor,2026-01-04T02:00:00,0,0.44,AWS
LOG75,VM100123,CloudWatch,2026-01-04T03:00:00,1,0.42,AWS
LOG76,VM100147,Stackdriver,2026-01-04T04:00:00,3,0.49,AWS
LOG77,VM100218,Stackdriver,2026-01-04T05:00:00,4,0.53,AWS
