Region,Service,Carbon_Emission,Total_Cost,Total_Usage
 ap-south-1 ,Compute,58962.659999999996,11072.8,138410
 ap-south-1 ,Database,65542.98,12321.839999999998,154023
 ap-south-1 ,NETWORK,4727.16,1050.48,13131
 ap-south-1 ,Network,7395.84,1643.52,20544
 ap-south-1 ,Storage,18682.23,3508.3999999999996,43855
 us-east-1 ,Compute,4016.96,1004.24,12553
 us-east-1 ,Database,4586.56,1146.64,14333
 us-east-1 ,Network,56363.72,9078.72,113484
AP-SOUTH-1,Storage,67501.47,14797.28,184966
EU-WEST-1,Database,12759.12,3780.48,47256
EU-WEST-1,Network,86451.12,13560.96,169512
US-EAST-1,Compute,25071.85,5495.2,68690
US-EAST-1,Database,31760.84,13678.16,170977
US-EAST-1,Network,6721.110000000001,2764.8,34560
US-EAST-1,Storage,42770.7,9374.4,117180
ap-south-1, Compute ,11725.240000000002,4598.08,57476
ap-south-1, Network ,2486.03,537.52,6719
ap-south-1, Storage ,267.75,42.0,525
ap-south-1,Compute,697209.93,176388.24,2204853
ap-south-1,Database,1272920.73,281321.92,3516524
ap-south-1,Network,1257178.7,306465.68,3830821
ap-south-1,Storage,920532.4299999999,213419.2,2667740
ap-south-1,database,7247.1,1136.8,14210
eu-west-1, Storage ,26336.2,7661.44,95768
eu-west-1,COMPUTE,56568.96000000001,10775.039999999999,134688
eu-west-1,Compute,888917.12,207735.04,2596688
eu-west-1,Database,1773665.61,380309.68,4753871
eu-west-1,Network,1337640.95,293619.44,3670243
eu-west-1,Storage,1517891.04,326568.16,4082102
eu-west-1,database,30973.5,6607.68,82596
us-east-1,Compute,1656852.92,366430.08,4580376
us-east-1,DATABASE,49121.24,9742.32,121779
us-east-1,Database,1431083.5,330482.56,4131032
us-east-1,Network,1615941.0,356813.76,4460172
us-east-1,STORAGE,0.0,3474.88,43436
us-east-1,Storage,1737489.56,357997.04,4474963
us-east-1,database,23385.6,5846.4,73080
us-east-1,storage,49495.18,11088.720000000001,138609
