Usage_ID,Account,Resource_ID,TS,Service,SKU,Usage,Unit,Cost,Currency,Credit_Amount,Price_Per_Second,Effective_Date,Date,Month,Day,Hour,Cloud_Provider,Net_Cost,Blended_Rate,Effective_Discount_%,Region,Owner,Environment,CPU_Utilization,Memory_Utilization,Disk_Utilization,Purchase_Type,Status,Tags_Present,Tag_Completeness_%,Tag_Status,Recommendation,Priority,Estimated_Savings
U1,ACCT1082,VM100058,2026-01-05 06:00:00,DATABASE,SKU8,48698,hrs ,3895.84,INR,0.0,0.08,2026-01-01,2026-01-05,2026-01,5,6,AWS,3895.84,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U2, ACCT1029 ,VM100072,2026-05-06 16:00:00, Compute , SKU19 ,6817,hrs ,545.36, INR ,0.0,0.08,2026-01-01,2026-05-06,2026-05,6,16,GCP,545.36,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U3,acct1055,VM100017,2026-01-06 02:00:00,storage,sku8,6240,Sec,499.2,inr,,0.08,2026-01-01,2026-01-06,2026-01,6,2,AWS,,,0.0,,,,,,,,,,,,Healthy,Low,0.0
U4,ACCT1065,VM100014,2026-04-06 18:00:00,NETWORK,SKU8,13131,sec,1050.48,INR,0.0,0.08,2026-01-01,2026-04-06,2026-04,6,18,AWS,1050.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U5, ACCT1058 ,VM100143,2026-05-19 03:00:00, Storage , SKU14 ,525,sec,42.0, INR ,0.0,0.08,2026-01-01,2026-05-19,2026-05,19,3,Azure,42.0,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U6,acct1044,VM100143,2026-01-27 12:00:00,database,sku4,14210,sec,1136.8,inr,0.0,0.08,2026-01-01,2026-01-27,2026-01,27,12,AWS,1136.8,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U7,ACCT1012,VM100195,2026-01-17 12:00:00,DATABASE,SKU20,23626,sec,1890.08,INR,,0.08,2026-01-01,2026-01-17,2026-01,17,12,GCP,,,0.0,,,,,,,,,,,,Healthy,Low,0.0
U8, ACCT1034 ,VM100023,2026-05-05 12:00:00, Compute , SKU13 ,30208,sec,2416.64, INR ,100.0,0.08,2026-01-01,2026-05-05,2026-05,5,12,AWS,2516.64,0.0833103813559322,4.14,,,,,,,,,,,,Healthy,Low,0.0
U9,acct1011,VM100283,2026-02-20 00:00:00,database,sku19,41298,sec,3303.84,inr,0.0,0.08,2026-01-01,2026-02-20,2026-02,20,0,Azure,3303.84,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U10,ACCT1025,VM100036,2026-01-08 19:00:00,STORAGE,SKU10,43436,sec,3474.88,INR,0.0,0.08,2026-01-01,2026-01-08,2026-01,8,19,Azure,3474.88,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U11, ACCT1011 ,VM100120,2026-05-28 21:00:00, Network , SKU9 ,6719,sec,537.52, INR ,0.0,0.08,2026-01-01,2026-05-28,2026-05,28,21,GCP,537.52,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U12,acct1059,VM100187,2026-01-28 18:00:00,database,sku7,24360,sec,1948.8,inr,0.0,0.08,2026-01-01,2026-01-28,2026-01,28,18,Azure,1948.8,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U13,ACCT1086,VM100137,2026-04-30 18:00:00,COMPUTE,SKU20,44896,sec,3591.68,INR,0.0,0.08,2026-01-01,2026-04-30,2026-04,30,18,AWS,3591.68,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U14, ACCT1082 ,VM100088,2026-04-02 03:00:00, Storage , SKU6 ,47884,sec,3830.72, INR ,0.0,0.08,2026-01-01,2026-04-02,2026-04,2,3,Azure,3830.72,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U15,acct1060,VM100195,2026-02-16 01:00:00,storage,sku11,42043,sec,3363.44,inr,0.0,0.08,2026-01-01,2026-02-16,2026-02,16,1,GCP,3363.44,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
