Resource_ID,Account,Region,Owner,Environment,CPU_Utilization,Memory_Utilization,Disk_Utilization,Purchase_Type,Status,Tags_Present,Tag_Completeness_%,Tag_Status
VM100001,ACCT1037,EU-WEST-1,DAVID,PROD,42,19,17,SPOT,RUNNING,6,100.0,Excellent
VM100002, ACCT1085 , ap-south-1 , Alice , Dev ,120,-5,150, ON_DEMAND , Running ,6,100.0,Excellent
VM100003,acct1063,ap-south-1,,dev,74,87,54,spot,running,5,83.33333333333334,Good
VM100004,ACCT1063,US-EAST-1,CHARLIE,DEV,120,-5,150,SPOT,RUNNING,6,100.0,Excellent
VM100005, ACCT1010 , ap-south-1 , Bob , Prod ,63,15,64, SPOT , Running ,6,100.0,Excellent
VM100006,acct1008,eu-west-1,david,qa,120,-5,150,reserved,running,6,100.0,Excellent
VM100007,ACCT1068,AP-SOUTH-1,,QA,10,32,71,ON_DEMAND,RUNNING,5,83.33333333333334,Good
VM100008, ACCT1013 , us-east-1 , Bob , Prod ,50,29,29, SPOT , Running ,6,100.0,Excellent
VM100009,acct1085,ap-south-1,bob,prod,72,58,18,spot,running,6,100.0,Excellent
VM100010,ACCT1074,EU-WEST-1,DAVID,PROD,86,59,18,ON_DEMAND,RUNNING,6,100.0,Excellent
VM100011, ACCT1024 , us-east-1 , David , Prod ,44,89,25, SPOT , Running ,6,100.0,Excellent
VM100012,acct1077,eu-west-1,charlie,qa,71,46,52,reserved,running,6,100.0,Excellent
VM100013,ACCT1098,US-EAST-1,DAVID,PROD,42,82,35,SPOT,RUNNING,6,100.0,Excellent
VM100014, ACCT1070 , ap-south-1 , David , Prod ,33,51,62, RESERVED , Running ,6,100.0,Excellent
VM100015,acct1051,ap-south-1,alice,qa,77,7,71,on_demand,running,6,100.0,Excellent
VM100016,ACCT1039,AP-SOUTH-1,CHARLIE,DEV,28,45,7,SPOT,RUNNING,6,100.0,Excellent
VM100017,ACCT1036,us-east-1,Bob,Dev,5,63,50,ON_DEMAND,Running,6,100.0,Excellent
VM100018,ACCT1018,eu-west-1,Charlie,Prod,32,34,37,RESERVED,Running,6,100.0,Excellent
VM100019,ACCT1012,us-east-1,David,Prod,28,14,46,RESERVED,Running,6,100.0,Excellent
VM100020,ACCT1023,eu-west-1,Alice,Prod,83,43,9,SPOT,Running,6,100.0,Excellent
VM100021,ACCT1074,eu-west-1,Alice,Dev,43,49,60,RESERVED,Running,6,100.0,Excellent
VM100022,ACCT1016,ap-south-1,Alice,Prod,81,53,11,RESERVED,Running,6,100.0,Excellent
VM100023,ACCT1068,ap-south-1,Charlie,Prod,73,24,46,SPOT,Running,6,100.0,Excellent
VM100024,ACCT1090,ap-south-1,Bob,Dev,87,55,62,SPOT,Running,6,100.0,Excellent
VM100025,ACCT1074,us-east-1,Alice,Dev,56,42,55,ON_DEMAND,Running,6,100.0,Excellent
VM100026,ACCT1017,eu-west-1,Alice,QA,74,11,75,RESERVED,Running,6,100.0,Excellent
VM100027,ACCT1034,ap-south-1,David,Prod,56,94,21,ON_DEMAND,Running,6,100.0,Excellent
VM100028,ACCT1062,us-east-1,Bob,QA,51,88,78,ON_DEMAND,Running,6,100.0,Excellent
VM100029,ACCT1072,us-east-1,Bob,Dev,10,39,60,RESERVED,Running,6,100.0,Excellent
VM100030,ACCT1088,us-east-1,Alice,Dev,86,57,59,RESERVED,Running,6,100.0,Excellent
VM100031,ACCT1045,ap-south-1,Charlie,QA,77,88,8,RESERVED,Running,6,100.0,Excellent
VM100032,ACCT1022,eu-west-1,David,Prod,19,61,10,ON_DEMAND,Running,6,100.0,Excellent
VM100033,ACCT1026,us-east-1,Charlie,Dev,94,15,19,SPOT,Running,6,100.0,Excellent
VM100034,ACCT1007,ap-south-1,Bob,QA,2,48,93,ON_DEMAND,Running,6,100.0,Excellent
VM100035,ACCT1040,eu-west-1,David,Dev,43,31,73,ON_DEMAND,Running,6,100.0,Excellent
VM100036,ACCT1027,us-east-1,Charlie,Prod,62,84,23,SPOT,Running,6,100.0,Excellent
VM100037,ACCT1090,us-east-1,Alice,QA,75,89,72,ON_DEMAND,Running,6,100.0,Excellent
VM100038,ACCT1033,ap-south-1,Alice,QA,26,94,84,RESERVED,Running,6,100.0,Excellent
VM100039,ACCT1007,eu-west-1,Alice,Dev,50,89,39,SPOT,Running,6,100.0,Excellent
VM100040,ACCT1085,eu-west-1,Alice,Dev,38,88,54,ON_DEMAND,Running,6,100.0,Excellent
VM100041,ACCT1049,us-east-1,Alice,QA,63,81,73,ON_DEMAND,Running,6,100.0,Excellent
VM100042,ACCT1024,ap-south-1,David,Prod,92,7,10,ON_DEMAND,Running,6,100.0,Excellent
VM100043,ACCT1068,eu-west-1,Charlie,QA,51,25,7,RESERVED,Running,6,100.0,Excellent
VM100044,ACCT1088,eu-west-1,Charlie,Prod,39,35,69,RESERVED,Running,6,100.0,Excellent
VM100045,ACCT1008,us-east-1,Charlie,QA,4,76,40,ON_DEMAND,Running,6,100.0,Excellent
VM100046,ACCT1020,eu-west-1,David,Prod,18,16,53,SPOT,Running,6,100.0,Excellent
VM100047,ACCT1087,us-east-1,Bob,QA,31,78,24,RESERVED,Running,6,100.0,Excellent
VM100048,ACCT1040,us-east-1,Charlie,QA,70,21,31,SPOT,Running,6,100.0,Excellent
VM100049,ACCT1018,us-east-1,Bob,Dev,40,93,95,SPOT,Running,6,100.0,Excellent
VM100050,ACCT1018,eu-west-1,Bob,Prod,73,25,45,ON_DEMAND,Running,6,100.0,Excellent
VM100051,ACCT1072,us-east-1,Alice,Dev,41,23,8,RESERVED,Running,6,100.0,Excellent
VM100052,ACCT1053,eu-west-1,Charlie,QA,82,40,24,ON_DEMAND,Running,6,100.0,Excellent
VM100053,ACCT1014,ap-south-1,Bob,Dev,79,83,39,SPOT,Running,6,100.0,Excellent
VM100054,ACCT1073,us-east-1,Bob,Prod,30,34,92,ON_DEMAND,Running,6,100.0,Excellent
VM100055,ACCT1046,ap-south-1,David,Dev,65,82,65,SPOT,Running,6,100.0,Excellent
VM100056,ACCT1084,eu-west-1,Bob,QA,63,65,22,ON_DEMAND,Running,6,100.0,Excellent
